Move title,Release year,Director,Cast,Rating,Users rated,Href
Casino,1995,Martin Scorsese,"Robert De Niro, Sharon Stone",8.2,536432,/title/tt0112641/
There Will Be Blood,2007,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano",8.2,604416,/title/tt0469494/
Pan's Labyrinth,2006,Guillermo del Toro,"Ivana Baquero, Ariadna Gil",8.2,682174,/title/tt0457430/
Unforgiven,1992,Clint Eastwoo,"Clint Eastwood, Gene Hackman",8.2,421824,/title/tt0105695/
Shutter Island,2010,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer",8.2,1366083,/title/tt1130884/
The Sixth Sense,1999,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment",8.2,1013120,/title/tt0167404/
Jurassic Park,1993,Steven Spielberg,"Sam Neill, Laura Dern",8.2,1017292,/title/tt0107290/
A Beautiful Mind,2001,Ron Howa,"Russell Crowe, Ed Harris",8.2,952320,/title/tt0268978/
The Treasure of the Sierra Madre,1948,John Huston,"Humphrey Bogart, Walter Huston",8.1,128220,/title/tt0040897/
Yojimbo,1961,Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno",8.1,126166,/title/tt0055630/
Monty Python and the Holy Grail,1975,Terry Gilliam,"Graham Chapman, John Cleese",8.1,552919,/title/tt0071853/
No Country for Old Men,2007,Ethan Coen,"Tommy Lee Jones, Javier Bardem",8.1,1004548,/title/tt0477348/
Kill Bill: Vol. 1,2003,Quentin Tarantino,"Uma Thurman, David Carradine",8.1,1143539,/title/tt0266697/
The Great Escape,1963,John Sturges,"Steve McQueen, James Garner",8.1,250008,/title/tt0057115/
Rashomon,1950,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô",8.1,173141,/title/tt0042876/
The Thing,1982,John Carpente,"Kurt Russell, Wilford Brimley",8.1,440106,/title/tt0084787/
Finding Nemo,2003,Andrew Stanton,"Albert Brooks, Ellen DeGeneres",8.1,1069500,/title/tt0266543/
Spider-Man: No Way Home,2021,Jon Watts,"Tom Holland, Zendaya",8.1,804745,/title/tt10872600/
The Elephant Man,1980,David Lynch,"Anthony Hopkins, John Hurt",8.1,248519,/title/tt0080678/
Chinatown,1974,Roman Polansk,"Jack Nicholson, Faye Dunaway",8.1,335504,/title/tt0071315/
Raging Bull,1980,Martin Scorsese,"Robert De Niro, Cathy Moriarty",8.1,364040,/title/tt0081398/
V for Vendetta,2005,James McTeigue,"Hugo Weaving, Natalie Portman",8.1,1142888,/title/tt0434409/
Gone with the Wind,1939,Victor Fleming,"Clark Gable, Vivien Leigh",8.1,323065,/title/tt0031381/
Dial M for Murder,1954,Alfred Hitchcock,"Ray Milland, Grace Kelly",8.1,181078,/title/tt0046912/
Howl's Moving Castle,2004,Hayao Miyazak,"Chieko Baishô, Takuya Kimura",8.1,413948,/title/tt0347149/
"Lock, Stock and Two Smoking Barrels",1998,Guy Ritchie,"Jason Flemyng, Dexter Fletcher",8.1,596382,/title/tt0120735/
Inside Out,2015,Pete Docte,"Amy Poehler, Bill Hader",8.1,739449,/title/tt2096673/
The Secret in Their Eyes,2009,Juan José Campanella,"Ricardo Darín, Soledad Villamil",8.1,214584,/title/tt1305806/
"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,"Frances McDormand, Woody Harrelson",8.1,527597,/title/tt5027774/
Prisoners,2013,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal",8.1,749841,/title/tt1392214/
Trainspotting,1996,Danny Boyle,"Ewan McGregor, Ewen Bremner",8.1,702382,/title/tt0117951/
The Bridge on the River Kwai,1957,David Lean,"William Holden, Alec Guinness",8.1,226098,/title/tt0050212/
Guardians of the Galaxy Vol. 3,2023,James Gunn,"Chris Pratt, Chukwudi Iwuji",8.1,174835,/title/tt6791350/
Fargo,1996,Joel Coen,"William H. Macy, Frances McDormand",8.1,694193,/title/tt0116282/
Warrior,2011,Gavin O'Conno,"Tom Hardy, Nick Nolte",8.1,482667,/title/tt1291584/
Gran Torino,2008,Clint Eastwoo,"Clint Eastwood, Bee Vang",8.1,791042,/title/tt1205489/
Catch Me If You Can,2002,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks",8.1,1025396,/title/tt0264464/
My Neighbor Totoro,1988,Hayao Miyazak,"Hitoshi Takagi, Noriko Hidaka",8.1,354160,/title/tt0096283/
Million Dollar Baby,2004,Clint Eastwoo,"Hilary Swank, Clint Eastwood",8.1,701143,/title/tt0405159/
Children of Heaven,1997,Majid Maj,"Mohammad Amir Naji, Amir Farrokh Hashemian",8.1,76956,/title/tt0118849/
Klaus,2019,Sergio Pablos,"Jason Schwartzman, J.K. Simmons",8.1,167037,/title/tt4729430/
The Gold Rush,1925,Charles Chaplin,"Charles Chaplin, Mack Swain",8.1,114150,/title/tt0015864/
Blade Runner,1982,Ridley Scott,"Harrison Ford, Rutger Hauer",8.1,790009,/title/tt0083658/
Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,"Daniel Radcliffe, Emma Watson",8.1,903333,/title/tt1201607/
12 Years a Slave,2013,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams",8.1,717252,/title/tt2024544/
Before Sunrise,1995,Richard Linklate,"Ethan Hawke, Julie Delpy",8.1,321506,/title/tt0112471/
